#
#       i          Prior Sigma          Post Sigma       Unc. Red. [%]
#
      132         0.500000E+01        0.860189E+00            82.79621
      133         0.200000E+01        0.898824E+00            55.05881
      134         0.200000E+00        0.175428E+00            12.28616
      135         0.500000E+01        0.497020E-01            99.00596
      136         0.200000E+01        0.765405E+00            61.72974
      137         0.200000E+00        0.898923E-01            55.05384
      138         0.500000E+01        0.827921E+00            83.44157
      139         0.200000E+01        0.871416E+00            56.42919
      140         0.200000E+00        0.138876E+00            30.56218
      141         0.500000E+01        0.897559E+00            82.04883
      142         0.200000E+01        0.828216E+00            58.58919
      143         0.200000E+00        0.121619E+00            39.19032
      144         0.500000E+01        0.956702E+00            80.86595
      145         0.200000E+01        0.855230E+00            57.23849
      146         0.200000E+00        0.123848E+00            38.07617
      147         0.500000E+01        0.963498E+00            80.73003
      148         0.200000E+01        0.856518E+00            57.17408
      149         0.200000E+00        0.116357E+00            41.82170
      150         0.500000E+01        0.101615E+01            79.67692
      151         0.200000E+01        0.918044E+00            54.09778
      152         0.200000E+00        0.155358E+00            22.32075
      153         0.500000E+01        0.860065E+00            82.79869
      154         0.200000E+01        0.897654E+00            55.11729
      155         0.200000E+00        0.153040E+00            23.48010
      156         0.500000E+01        0.493446E-01            99.01311
      157         0.200000E+01        0.763688E+00            61.81558
      158         0.200000E+00        0.890346E-01            55.48268
      159         0.500000E+01        0.472986E-01            99.05403
      160         0.200000E+01        0.803586E+00            59.82070
      161         0.200000E+00        0.780872E-01            60.95639
      162         0.500000E+01        0.828345E+00            83.43310
      163         0.200000E+01        0.883140E+00            55.84300
      164         0.200000E+00        0.138271E+00            30.86427
      165         0.500000E+01        0.899807E+00            82.00386
      166         0.200000E+01        0.832938E+00            58.35312
      167         0.200000E+00        0.120925E+00            39.53732
      168         0.500000E+01        0.957665E+00            80.84670
      169         0.200000E+01        0.857005E+00            57.14976
      170         0.200000E+00        0.123931E+00            38.03446
      171         0.500000E+01        0.964485E+00            80.71029
      172         0.200000E+01        0.859368E+00            57.03162
      173         0.200000E+00        0.116065E+00            41.96729
      174         0.500000E+01        0.101650E+01            79.66991
      175         0.200000E+01        0.926431E+00            53.67846
      176         0.200000E+00        0.155328E+00            22.33588
      177         0.500000E+01        0.860091E+00            82.79819
      178         0.200000E+01        0.922628E+00            53.86862
      179         0.200000E+00        0.152341E+00            23.82942
      180         0.500000E+01        0.471265E-01            99.05747
      181         0.200000E+01        0.842582E+00            57.87089
      182         0.200000E+00        0.791134E-01            60.44332
      183         0.500000E+01        0.700943E+00            85.98113
      184         0.200000E+01        0.870423E+00            56.47884
      185         0.200000E+00        0.152195E+00            23.90267
      186         0.500000E+01        0.488658E-01            99.02268
      187         0.200000E+01        0.739162E+00            63.04190
      188         0.200000E+00        0.812411E-01            59.37943
      189         0.500000E+01        0.777891E+00            84.44217
      190         0.200000E+01        0.769615E+00            61.51927
      191         0.200000E+00        0.111704E+00            44.14787
      192         0.500000E+01        0.961948E+00            80.76105
      193         0.200000E+01        0.854242E+00            57.28789
      194         0.200000E+00        0.123538E+00            38.23087
      195         0.500000E+01        0.109404E+01            78.11927
      196         0.200000E+01        0.903178E+00            54.84112
      197         0.200000E+00        0.121449E+00            39.27536
      198         0.500000E+01        0.139869E+01            72.02616
      199         0.200000E+01        0.103809E+01            48.09538
      200         0.200000E+00        0.156235E+00            21.88259
      201         0.500000E+01        0.166442E+01            66.71166
      202         0.200000E+01        0.122053E+01            38.97363
      203         0.200000E+00        0.186942E+00             6.52922
