#
#       i          Prior Sigma          Post Sigma       Unc. Red. [%]
#
      132         0.500000E+01        0.778454E+00            84.43091
      133         0.200000E+01        0.824924E+00            58.75379
      134         0.200000E+00        0.118474E+00            40.76283
      135         0.500000E+01        0.172630E+00            96.54739
      136         0.200000E+01        0.847666E+00            57.61670
      137         0.200000E+00        0.117160E+00            41.41999
      138         0.500000E+01        0.772523E+00            84.54955
      139         0.200000E+01        0.810127E+00            59.49364
      140         0.200000E+00        0.102653E+00            48.67335
      141         0.500000E+01        0.896556E+00            82.06887
      142         0.200000E+01        0.840028E+00            57.99858
      143         0.200000E+00        0.120459E+00            39.77066
      144         0.500000E+01        0.953671E+00            80.92658
      145         0.200000E+01        0.861100E+00            56.94501
      146         0.200000E+00        0.122863E+00            38.56833
      147         0.500000E+01        0.957315E+00            80.85369
      148         0.200000E+01        0.861296E+00            56.93521
      149         0.200000E+00        0.113210E+00            43.39507
      150         0.500000E+01        0.903940E+00            81.92120
      151         0.200000E+01        0.838853E+00            58.05735
      152         0.200000E+00        0.121450E+00            39.27490
      153         0.500000E+01        0.771477E+00            84.57046
      154         0.200000E+01        0.809789E+00            59.51057
      155         0.200000E+00        0.110984E+00            44.50782
      156         0.500000E+01        0.171735E+00            96.56530
      157         0.200000E+01        0.868717E+00            56.56414
      158         0.200000E+00        0.118123E+00            40.93833
      159         0.500000E+01        0.842121E+00            83.15759
      160         0.200000E+01        0.909547E+00            54.52264
      161         0.200000E+00        0.154525E+00            22.73744
      162         0.500000E+01        0.918454E+00            81.63091
      163         0.200000E+01        0.848405E+00            57.57977
      164         0.200000E+00        0.111060E+00            44.46992
      165         0.500000E+01        0.970592E+00            80.58816
      166         0.200000E+01        0.859782E+00            57.01091
      167         0.200000E+00        0.121612E+00            39.19421
      168         0.500000E+01        0.100885E+01            79.82294
      169         0.200000E+01        0.874570E+00            56.27150
      170         0.200000E+00        0.123355E+00            38.32274
      171         0.500000E+01        0.102777E+01            79.44456
      172         0.200000E+01        0.878947E+00            56.05263
      173         0.200000E+00        0.113394E+00            43.30309
      174         0.500000E+01        0.102499E+01            79.50010
      175         0.200000E+01        0.874058E+00            56.29711
      176         0.200000E+00        0.122728E+00            38.63583
      177         0.500000E+01        0.103908E+01            79.21849
      178         0.200000E+01        0.877365E+00            56.13174
      179         0.200000E+00        0.121061E+00            39.46943
      180         0.500000E+01        0.113891E+01            77.22188
      181         0.200000E+01        0.932220E+00            53.38898
      182         0.200000E+00        0.156141E+00            21.92955
      183         0.500000E+01        0.107178E+01            78.56446
      184         0.200000E+01        0.884977E+00            55.75114
      185         0.200000E+00        0.118329E+00            40.83558
      186         0.500000E+01        0.114893E+01            77.02138
      187         0.200000E+01        0.936439E+00            53.17804
      188         0.200000E+00        0.142978E+00            28.51078
      189         0.500000E+01        0.105802E+01            78.83965
      190         0.200000E+01        0.886187E+00            55.69065
      191         0.200000E+00        0.124107E+00            37.94663
      192         0.500000E+01        0.107741E+01            78.45186
      193         0.200000E+01        0.905260E+00            54.73698
      194         0.200000E+00        0.124040E+00            37.98014
      195         0.500000E+01        0.111278E+01            77.74436
      196         0.200000E+01        0.930133E+00            53.49333
      197         0.200000E+00        0.114353E+00            42.82355
      198         0.500000E+01        0.116496E+01            76.70085
      199         0.200000E+01        0.978565E+00            51.07174
      200         0.200000E+00        0.126855E+00            36.57267
      201         0.500000E+01        0.131187E+01            73.76267
      202         0.200000E+01        0.111384E+01            44.30816
      203         0.200000E+00        0.145536E+00            27.23189
