#
#       i          Prior Sigma          Post Sigma       Unc. Red. [%]
#
        1         0.100000E+00        0.283359E-01            71.66407
        2         0.100000E+00        0.291564E-01            70.84362
        3         0.500000E+01        0.132824E+01            73.43529
        4         0.200000E+01        0.111870E+01            44.06478
        5         0.200000E+00        0.134360E+00            32.81977
        6         0.500000E+01        0.118024E+01            76.39522
        7         0.200000E+01        0.984021E+00            50.79894
        8         0.200000E+00        0.118320E+00            40.83993
        9         0.500000E+01        0.110135E+01            77.97301
       10         0.200000E+01        0.924109E+00            53.79454
       11         0.200000E+00        0.124656E+00            37.67178
       12         0.500000E+01        0.107772E+01            78.44559
       13         0.200000E+01        0.905564E+00            54.72181
       14         0.200000E+00        0.124060E+00            37.97013
       15         0.500000E+01        0.107156E+01            78.56887
       16         0.200000E+01        0.893195E+00            55.34024
       17         0.200000E+00        0.113988E+00            43.00597
       18         0.500000E+01        0.114708E+01            77.05834
       19         0.200000E+01        0.935588E+00            53.22061
       20         0.200000E+00        0.142393E+00            28.80338
       21         0.500000E+01        0.105285E+01            78.94297
       22         0.200000E+01        0.873369E+00            56.33155
       23         0.200000E+00        0.122072E+00            38.96422
       24         0.500000E+01        0.118130E+01            76.37409
       25         0.200000E+01        0.942277E+00            52.88615
       26         0.200000E+00        0.156113E+00            21.94336
       27         0.500000E+01        0.118122E+01            76.37558
       28         0.200000E+01        0.942161E+00            52.89195
       29         0.200000E+00        0.155986E+00            22.00707
       30         0.500000E+01        0.105259E+01            78.94825
       31         0.200000E+01        0.872860E+00            56.35698
       32         0.200000E+00        0.120787E+00            39.60672
       33         0.500000E+01        0.114082E+01            77.18366
       34         0.200000E+01        0.929935E+00            53.50323
       35         0.200000E+00        0.142259E+00            28.87043
       36         0.500000E+01        0.105983E+01            78.80349
       37         0.200000E+01        0.877082E+00            56.14591
       38         0.200000E+00        0.113024E+00            43.48778
       39         0.500000E+01        0.117052E+01            76.58966
       40         0.200000E+01        0.940385E+00            52.98077
       41         0.200000E+00        0.155223E+00            22.38856
       42         0.500000E+01        0.115336E+01            76.93279
       43         0.200000E+01        0.935693E+00            53.21535
       44         0.200000E+00        0.155270E+00            22.36485
       45         0.500000E+01        0.998589E+00            80.02823
       46         0.200000E+01        0.856455E+00            57.17726
       47         0.200000E+00        0.113534E+00            43.23278
       48         0.500000E+01        0.100867E+01            79.82662
       49         0.200000E+01        0.887889E+00            55.60553
       50         0.200000E+00        0.141126E+00            29.43719
       51         0.500000E+01        0.764964E+00            84.70071
       52         0.200000E+01        0.755380E+00            62.23098
       53         0.200000E+00        0.109109E+00            45.44532
       54         0.500000E+01        0.487682E-01            99.02464
       55         0.200000E+01        0.744977E+00            62.75113
       56         0.200000E+00        0.807348E-01            59.63261
       57         0.500000E+01        0.861198E+00            82.77605
       58         0.200000E+01        0.892403E+00            55.37985
       59         0.200000E+00        0.152464E+00            23.76795
       60         0.500000E+01        0.102015E+01            79.59698
       61         0.200000E+01        0.915639E+00            54.21807
       62         0.200000E+00        0.155883E+00            22.05857
       63         0.500000E+01        0.973573E+00            80.52854
       64         0.200000E+01        0.851857E+00            57.40715
       65         0.200000E+00        0.121618E+00            39.19123
       66         0.500000E+01        0.112646E+01            77.47075
       67         0.200000E+01        0.932501E+00            53.37497
       68         0.200000E+00        0.156180E+00            21.91004
       69         0.500000E+01        0.113177E+01            77.36450
       70         0.200000E+01        0.934950E+00            53.25249
       71         0.200000E+00        0.175765E+00            12.11736
       72         0.500000E+01        0.992860E+00            80.14279
       73         0.200000E+01        0.862696E+00            56.86518
       74         0.200000E+00        0.118613E+00            40.69346
       75         0.500000E+01        0.910335E+00            81.79329
       76         0.200000E+01        0.830095E+00            58.49524
       77         0.200000E+00        0.123043E+00            38.47854
       78         0.500000E+01        0.768987E+00            84.62026
       79         0.200000E+01        0.786683E+00            60.66587
       80         0.200000E+00        0.117906E+00            41.04715
       81         0.500000E+01        0.492053E-01            99.01589
       82         0.200000E+01        0.720326E+00            63.98369
       83         0.200000E+00        0.826271E-01            58.68645
       84         0.500000E+01        0.753650E+00            84.92699
       85         0.200000E+01        0.762768E+00            61.86158
       86         0.200000E+00        0.100432E+00            49.78386
       87         0.500000E+01        0.862008E+00            82.75984
       88         0.200000E+01        0.814527E+00            59.27363
       89         0.200000E+00        0.119484E+00            40.25796
       90         0.500000E+01        0.873575E+00            82.52851
       91         0.200000E+01        0.824581E+00            58.77095
       92         0.200000E+00        0.120997E+00            39.50150
       93         0.500000E+01        0.753994E+00            84.92013
       94         0.200000E+01        0.775823E+00            61.20885
