#
#       i          Prior Sigma          Post Sigma       Unc. Red. [%]
#
       95         0.200000E+00        0.102979E+00            48.51032
       96         0.500000E+01        0.476010E-01            99.04798
       97         0.200000E+01        0.748353E+00            62.58237
       98         0.200000E+00        0.725105E-01            63.74477
       99         0.500000E+01        0.753952E+00            84.92096
      100         0.200000E+01        0.770092E+00            61.49541
      101         0.200000E+00        0.109977E+00            45.01165
      102         0.500000E+01        0.894731E+00            82.10538
      103         0.200000E+01        0.833118E+00            58.34408
      104         0.200000E+00        0.121677E+00            39.16134
      105         0.500000E+01        0.928471E+00            81.43058
      106         0.200000E+01        0.848040E+00            57.59801
      107         0.200000E+00        0.113108E+00            43.44582
      108         0.500000E+01        0.887164E+00            82.25671
      109         0.200000E+01        0.830027E+00            58.49864
      110         0.200000E+00        0.121770E+00            39.11488
      111         0.500000E+01        0.764303E+00            84.71393
      112         0.200000E+01        0.802064E+00            59.89681
      113         0.200000E+00        0.118235E+00            40.88274
      114         0.500000E+01        0.477313E-01            99.04537
      115         0.200000E+01        0.791373E+00            60.43136
      116         0.200000E+00        0.791318E-01            60.43412
      117         0.500000E+01        0.769302E+00            84.61396
      118         0.200000E+01        0.803337E+00            59.83313
      119         0.200000E+00        0.109145E+00            45.42732
      120         0.500000E+01        0.891654E+00            82.16692
      121         0.200000E+01        0.834314E+00            58.28431
      122         0.200000E+00        0.121536E+00            39.23176
      123         0.500000E+01        0.948407E+00            81.03186
      124         0.200000E+01        0.856440E+00            57.17801
      125         0.200000E+00        0.123025E+00            38.48751
      126         0.500000E+01        0.951648E+00            80.96705
      127         0.200000E+01        0.855722E+00            57.21390
      128         0.200000E+00        0.112241E+00            43.87952
      129         0.500000E+01        0.893878E+00            82.12243
      130         0.200000E+01        0.826313E+00            58.68433
      131         0.200000E+00        0.122414E+00            38.79298
      132         0.500000E+01        0.765335E+00            84.69329
      133         0.200000E+01        0.783465E+00            60.82675
      134         0.200000E+00        0.117262E+00            41.36910
      135         0.500000E+01        0.496250E-01            99.00750
      136         0.200000E+01        0.707492E+00            64.62542
      137         0.200000E+00        0.841881E-01            57.90594
      138         0.500000E+01        0.762551E+00            84.74899
      139         0.200000E+01        0.761607E+00            61.91967
      140         0.200000E+00        0.100464E+00            49.76810
      141         0.500000E+01        0.890306E+00            82.19387
      142         0.200000E+01        0.823363E+00            58.83184
      143         0.200000E+00        0.120082E+00            39.95909
      144         0.500000E+01        0.948903E+00            81.02194
      145         0.200000E+01        0.853414E+00            57.32928
      146         0.200000E+00        0.122826E+00            38.58684
      147         0.500000E+01        0.952447E+00            80.95106
      148         0.200000E+01        0.853645E+00            57.31774
      149         0.200000E+00        0.113172E+00            43.41381
      150         0.500000E+01        0.896790E+00            82.06420
      151         0.200000E+01        0.823437E+00            58.82815
      152         0.200000E+00        0.121207E+00            39.39670
      153         0.500000E+01        0.761349E+00            84.77302
      154         0.200000E+01        0.760514E+00            61.97428
      155         0.200000E+00        0.108321E+00            45.83942
      156         0.500000E+01        0.494547E-01            99.01091
      157         0.200000E+01        0.728795E+00            63.56025
      158         0.200000E+00        0.847543E-01            57.62286
      159         0.500000E+01        0.831493E+00            83.37013
      160         0.200000E+01        0.865553E+00            56.72236
      161         0.200000E+00        0.154264E+00            22.86803
      162         0.500000E+01        0.911344E+00            81.77312
      163         0.200000E+01        0.833742E+00            58.31291
      164         0.200000E+00        0.110850E+00            44.57486
      165         0.500000E+01        0.966431E+00            80.67139
      166         0.200000E+01        0.854091E+00            57.29545
      167         0.200000E+00        0.121578E+00            39.21096
      168         0.500000E+01        0.100628E+01            79.87438
      169         0.200000E+01        0.872237E+00            56.38814
      170         0.200000E+00        0.123349E+00            38.32545
      171         0.500000E+01        0.102604E+01            79.47930
      172         0.200000E+01        0.877894E+00            56.10531
      173         0.200000E+00        0.113390E+00            43.30523
      174         0.500000E+01        0.102365E+01            79.52707
      175         0.200000E+01        0.873534E+00            56.32331
      176         0.200000E+00        0.122724E+00            38.63792
      177         0.500000E+01        0.103793E+01            79.24146
      178         0.200000E+01        0.877093E+00            56.14535
      179         0.200000E+00        0.121058E+00            39.47116
      180         0.500000E+01        0.113796E+01            77.24072
      181         0.200000E+01        0.932096E+00            53.39519
      182         0.200000E+00        0.156140E+00            21.92981
      183         0.500000E+01        0.107078E+01            78.58446
      184         0.200000E+01        0.884887E+00            55.75566
      185         0.200000E+00        0.118326E+00            40.83704
      186         0.500000E+01        0.114803E+01            77.03946
      187         0.200000E+01        0.936388E+00            53.18062
      188         0.200000E+00        0.142978E+00            28.51110
      189         0.500000E+01        0.105698E+01            78.86043
      190         0.200000E+01        0.886134E+00            55.69331
      191         0.200000E+00        0.124105E+00            37.94766
      192         0.500000E+01        0.107637E+01            78.47257
      193         0.200000E+01        0.905215E+00            54.73925
      194         0.200000E+00        0.124038E+00            37.98096
      195         0.500000E+01        0.111177E+01            77.76456
      196         0.200000E+01        0.930094E+00            53.49532
      197         0.200000E+00        0.114352E+00            42.82425
      198         0.500000E+01        0.116398E+01            76.72036
      199         0.200000E+01        0.978528E+00            51.07358
      200         0.200000E+00        0.126853E+00            36.57337
      201         0.500000E+01        0.131100E+01            73.78003
      202         0.200000E+01        0.111381E+01            44.30973
      203         0.200000E+00        0.145535E+00            27.23246
